Código CNS;Serventia;Processos Realizados;Comarca;UF
059873;1º Registro de Imóveis de Barbacena;1;Barbacena;MG
010413;Registro de Imóveis de Campo Formoso;1;Campo Formoso;BA
154757;Registro de Imóveis de Aparecida de Goiania;1;Aparecida de Goiania;GO
073742;4º Registro de Imóveis de Recife;1;Recife;PE
013151;Registro de Imóveis de Santaluz;1;Santaluz;BA
135673;1º Registro de Imóveis de Juazeiro;1;Juazeiro;BA
061754;Registro de Imóveis de Eldorado;1;Eldorado;MS
032136;1º Registro de Imóveis de Uberlandia;1;Uberlandia;MG
007625;1º Registro de Imóveis de Barreiras;1;Barreiras;BA
033134;3º Registro de Imóveis de Belo Horizonte;1;Belo Horizonte;MG
074740;Registro de Imóveis de Amaraji;1;Amaraji;PE
005678;Registro de Imóveis de Tucano;1;Tucano;BA
